time_s	mv
0.0	0.878826
0.001	1.189973
0.002	1.365681
0.003	1.529893
0.004	1.781973
0.005	2.039873
0.006	2.035486
0.007	1.678523
0.008	1.382516
0.009	1.546234
0.01	1.948018
0.011	2.196656
0.012	2.287098
0.013	2.393501
0.014	2.559119
0.015	2.696388
0.016	2.694361
0.017	2.47396
0.018	2.041044
0.019	1.571893
0.02	1.314892
0.021	1.320189
0.022	1.423777
0.023	1.507676
0.024	1.594791
0.025	1.67358
0.026	1.580032
0.027	1.270222
0.028	1.102228
0.029	1.369961
0.03	1.812469
0.031	2.079014
0.032	2.194972
0.033	2.316245
0.034	2.457929
0.035	2.532835
0.036	2.465635
0.037	2.224909
0.038	1.834928
0.039	1.443204
0.04	1.252129
0.041	1.286798
0.042	1.385087
0.043	1.447483
0.044	1.523053
0.045	1.617757
0.046	1.561023
0.047	1.28191
0.048	1.11548
0.049	1.35988
0.05	1.77597
0.051	2.026722
0.052	2.134614
0.053	2.239901
0.054	2.34205
0.055	2.35597
0.056	2.231681
0.057	1.972883
0.058	1.62233
0.059	1.310387
0.06	1.196857
0.061	1.270835
0.062	1.363105
0.063	1.394946
0.064	1.448636
0.065	1.556918
0.066	1.55868
0.067	1.371771
0.068	1.29712
0.069	1.581903
0.07	1.95167
0.071	2.088777
0.072	2.073696
0.073	2.086406
0.074	2.128536
0.075	2.1046
0.076	1.963758
0.077	1.716309
0.078	1.406976
0.079	1.157253
0.08	1.106016
0.081	1.217239
0.082	1.311355
0.083	1.324836
0.084	1.368515
0.085	1.492444
0.086	1.523038
0.087	1.339756
0.088	1.216766
0.089	1.425657
0.09	1.75072
0.091	1.903888
0.092	1.936655
0.093	1.98101
0.094	2.020927
0.095	1.981246
0.096	1.848743
0.097	1.65878
0.098	1.443338
0.099	1.273957
0.1	1.236317
0.101	1.283114
0.102	1.275038
0.103	1.20499
0.104	1.225671
0.105	1.414755
0.106	1.609045
0.107	1.638828
0.108	1.652588
0.109	1.827375
0.11	1.986821
0.111	1.946556
0.112	1.82256
0.113	1.767719
0.114	1.770316
0.115	1.762527
0.116	1.747487
0.117	1.738954
0.118	1.664783
0.119	1.4963
0.12	1.341677
0.121	1.252357
0.122	1.152325
0.123	1.046147
0.124	1.078492
0.125	1.311847
0.126	1.555976
0.127	1.603041
0.128	1.576282
0.129	1.670405
0.13	1.764229
0.131	1.717544
0.132	1.640775
0.133	1.644596
0.134	1.672968
0.135	1.625065
0.136	1.486483
0.137	1.309252
0.138	1.137064
0.139	1.02519
0.14	1.028912
0.141	1.090279
0.142	1.084732
0.143	1.028446
0.144	1.083751
0.145	1.303218
0.146	1.466901
0.147	1.381847
0.148	1.274889
0.149	1.422955
0.15	1.641998
0.151	1.672214
0.152	1.588538
0.153	1.542925
0.154	1.535788
0.155	1.525336
0.156	1.554147
0.157	1.647637
0.158	1.66954
0.159	1.509581
0.16	1.283365
0.161	1.113914
0.162	0.974418
0.163	0.880519
0.164	0.958676
0.165	1.220947
0.166	1.410653
0.167	1.307243
0.168	1.13059
0.169	1.187133
0.17	1.355736
0.171	1.422188
0.172	1.439287
0.173	1.488876
0.174	1.504738
0.175	1.396701
0.176	1.183939
0.177	0.964174
0.178	0.803153
0.179	0.734059
0.18	0.778584
0.181	0.870573
0.182	0.898433
0.183	0.888933
0.184	1.001106
0.185	1.27064
0.186	1.450948
0.187	1.328952
0.188	1.136544
0.189	1.188865
0.19	1.362493
0.191	1.430836
0.192	1.432575
0.193	1.44425
0.194	1.410231
0.195	1.274309
0.196	1.109277
0.197	1.031532
0.198	1.029586
0.199	1.027131
0.2	1.021147
0.201	0.998067
0.202	0.897351
0.203	0.75693
0.204	0.728723
0.205	0.887315
0.206	1.091661
0.207	1.193698
0.208	1.312748
0.209	1.540474
0.21	1.638472
0.211	1.460513
0.212	1.233989
0.213	1.185066
0.214	1.25766
0.215	1.257548
0.216	1.087541
0.217	0.79936
0.218	0.516252
0.219	0.393163
0.22	0.527688
