time_s,mv
0.0,0.00867
0.001,0.009807
0.002,0.009725
0.003,0.008745
0.004,0.007321
0.005,0.005844
0.006,0.004486
0.007,0.003143
0.008,0.001724
0.009,0.000524
0.01,8.4e-05
0.011,0.000613
0.012,0.001693
0.013,0.002621
0.014,0.003065
0.015,0.003421
0.016,0.004465
0.017,0.006554
0.018,0.009145
0.019,0.011101
0.02,0.01152
0.021,0.010309
0.022,0.008063
0.023,0.005588
0.024,0.003663
0.025,0.003276
0.026,0.006065
0.027,0.014057
0.028,0.027879
0.029,0.044609
0.03,0.058774
0.031,0.067394
0.032,0.073863
0.033,0.085084
0.034,0.103858
0.035,0.124104
0.036,0.133804
0.037,0.123704
0.038,0.094597
0.039,0.056969
0.04,0.023938
0.041,0.003976
0.042,-0.001707
0.043,0.002834
0.044,0.011934
0.045,0.021019
0.046,0.02758
0.047,0.031
0.048,0.031965
0.049,0.03177
0.05,0.031535
0.051,0.031642
0.052,0.031785
0.053,0.031474
0.054,0.030573
0.055,0.02957
0.056,0.0294
0.057,0.030758
0.058,0.033389
0.059,0.036188
0.06,0.038126
0.061,0.038919
0.062,0.038771
0.063,0.037816
0.064,0.03597
0.065,0.033104
0.066,0.02922
0.067,0.024644
0.068,0.02009
0.069,0.016323
0.07,0.013656
0.071,0.011851
0.072,0.010434
0.073,0.009048
0.074,0.007653
0.075,0.00658
0.076,0.006354
0.077,0.007276
0.078,0.009101
0.079,0.011137
0.08,0.012678
0.081,0.013377
0.082,0.01324
0.083,0.012441
0.084,0.011158
0.085,0.009474
0.086,0.007455
0.087,0.005305
0.088,0.003364
0.089,0.001922
0.09,0.001072
0.091,0.000688
0.092,0.000525
0.093,0.000373
0.094,0.000264
0.095,0.000601
0.096,0.001894
0.097,0.004182
0.098,0.00668
0.099,0.008051
0.1,0.007113
0.101,0.003495
0.102,-0.002018
0.103,-0.007434
0.104,-0.010105
0.105,-0.008283
0.106,-0.002652
0.107,0.003839
0.108,0.007878
0.109,0.007832
0.11,0.004353
0.111,-0.000663
0.112,-0.005502
0.113,-0.009173
0.114,-0.011176
0.115,-0.011324
0.116,-0.009909
0.117,-0.0077
0.118,-0.005422
0.119,-0.003343
0.12,-0.001454
0.121,0.000131
0.122,0.001071
0.123,0.000992
0.124,-0.000244
0.125,-0.002377
0.126,-0.00475
0.127,-0.006635
0.128,-0.007748
0.129,-0.008432
0.13,-0.009271
0.131,-0.010502
0.132,-0.011739
0.133,-0.012197
0.134,-0.011264
0.135,-0.00898
0.136,-0.00605
0.137,-0.003457
0.138,-0.001944
0.139,-0.001642
0.14,-0.001969
0.141,-0.001727
0.142,0.000794
0.143,0.007574
0.144,0.019777
0.145,0.035879
0.146,0.051355
0.147,0.061968
0.148,0.068055
0.149,0.074551
0.15,0.085904
0.151,0.100737
0.152,0.111075
0.153,0.107325
0.154,0.085829
0.155,0.05255
0.156,0.019329
0.157,-0.003557
0.158,-0.012238
0.159,-0.009074
0.16,0.000596
0.161,0.011667
0.162,0.020842
0.163,0.02669
0.164,0.029124
0.165,0.028914
0.166,0.02722
0.167,0.025068
0.168,0.022989
0.169,0.021046
0.17,0.019143
0.171,0.017383
0.172,0.01625
