time_s	mv
0.0	0.000927
0.001	0.009611
0.002	0.015241
0.003	0.019163
0.004	0.021682
0.005	0.022721
0.006	0.022638
0.007	0.022292
0.008	0.02254
0.009	0.023637
0.01	0.024856
0.011	0.02437
0.012	0.020287
0.013	0.01296
0.014	0.00489
0.015	-0.002274
0.016	-0.008355
0.017	-0.01273
0.018	-0.014097
0.019	-0.01197
0.02	-0.007287
0.021	-0.001267
0.022	0.005592
0.023	0.012771
0.024	0.018742
0.025	0.021605
0.026	0.020822
0.027	0.018024
0.028	0.015705
0.029	0.015299
0.03	0.016485
0.031	0.017403
0.032	0.015717
0.033	0.0106
0.034	0.002934
0.035	-0.006233
0.036	-0.015395
0.037	-0.021751
0.038	-0.022817
0.039	-0.018482
0.04	-0.010843
0.041	-0.002473
0.042	0.00478
0.043	0.00983
0.044	0.012302
0.045	0.012786
0.046	0.012606
0.047	0.012912
0.048	0.014
0.049	0.015578
0.05	0.017088
0.051	0.017263
0.052	0.014605
0.053	0.009551
0.054	0.00463
0.055	0.001535
0.056	-0.000519
0.057	-0.003652
0.058	-0.009226
0.059	-0.014978
0.06	-0.012226
0.061	0.011859
0.062	0.063668
0.063	0.132494
0.064	0.193831
0.065	0.226372
0.066	0.225571
0.067	0.201244
0.068	0.165088
0.069	0.122531
0.07	0.07542
0.071	0.029058
0.072	-0.006384
0.073	-0.022075
0.074	-0.018154
0.075	-0.004506
0.076	0.007425
0.077	0.01309
0.078	0.014798
0.079	0.015783
0.08	0.016337
0.081	0.014854
0.082	0.010622
0.083	0.005023
0.084	0.00066
0.085	-0.000436
0.086	0.001872
0.087	0.005848
0.088	0.009444
0.089	0.011952
0.09	0.013654
0.091	0.014158
0.092	0.012403
0.093	0.008705
0.094	0.005002
0.095	0.002438
0.096	0.000714
0.097	-0.000454
0.098	-0.001298
0.099	-0.002866
0.1	-0.00633
0.101	-0.011398
0.102	-0.015965
0.103	-0.017624
0.104	-0.015797
0.105	-0.012227
0.106	-0.009254
0.107	-0.00804
0.108	-0.008214
0.109	-0.008491
0.11	-0.007883
0.111	-0.006881
0.112	-0.007129
0.113	-0.009309
0.114	-0.0125
0.115	-0.01593
0.116	-0.019202
0.117	-0.021072
0.118	-0.02039
0.119	-0.018125
0.12	-0.017186
0.121	-0.020057
0.122	-0.026463
0.123	-0.0332
0.124	-0.036656
0.125	-0.035357
0.126	-0.030056
0.127	-0.022557
0.128	-0.014692
0.129	-0.00754
0.13	-0.001597
0.131	0.001999
0.132	0.001515
0.133	-0.002838
0.134	-0.008101
0.135	-0.011411
0.136	-0.01165
0.137	-0.008783
0.138	-0.003992
0.139	1.7e-05
0.14	0.00042
0.141	-0.003462
0.142	-0.009331
0.143	-0.013901
0.144	-0.015826
0.145	-0.016121
0.146	-0.016192
0.147	-0.016214
0.148	-0.015091
0.149	-0.011529
0.15	-0.005373
0.151	0.001444
0.152	0.005578
0.153	0.004918
0.154	-0.000463
0.155	-0.010083
0.156	-0.022699
0.157	-0.033205
0.158	-0.03127
0.159	-0.00494
0.16	0.049727
0.161	0.119474
0.162	0.178108
0.163	0.204705
0.164	0.197478
0.165	0.169765
0.166	0.135609
0.167	0.100733
0.168	0.065312
0.169	0.03186
0.17	0.007304
0.171	-0.003276
0.172	-0.001975
0.173	0.004934
0.174	0.012407
0.175	0.017603
0.176	0.018952
0.177	0.015522
0.178	0.006513
0.179	-0.007813
0.18	-0.024302
0.181	-0.037114
0.182	-0.041241
0.183	-0.036305
0.184	-0.0263
0.185	-0.015866
0.186	-0.007331
0.187	-0.000522
0.188	0.005747
0.189	0.01224
0.19	0.018634
0.191	0.023295
0.192	0.024343
0.193	0.022107
0.194	0.018957
0.195	0.016348
0.196	0.014323
0.197	0.01296
0.198	0.011945
0.199	0.009529
0.2	0.003422
0.201	-0.007
0.202	-0.019573
0.203	-0.030327
0.204	-0.035656
0.205	-0.034373
0.206	-0.028099
0.207	-0.019644
0.208	-0.01119
0.209	-0.003746
0.21	0.002106
0.211	0.005111
0.212	0.004174
0.213	0.000828
0.214	-0.001376
0.215	-0.000539
0.216	0.002451
0.217	0.005542
0.218	0.006563
0.219	0.003772
0.22	-0.002929
0.221	-0.011107
0.222	-0.01715
0.223	-0.019146
0.224	-0.018105
0.225	-0.01635
0.226	-0.015193
0.227	-0.014259
0.228	-0.012527
0.229	-0.009463
0.23	-0.00559
0.231	-0.002661
0.232	-0.002401
0.233	-0.004261
0.234	-0.005926
0.235	-0.006254
0.236	-0.005751
0.237	-0.005067
0.238	-0.005052
0.239	-0.007403
0.24	-0.013694
0.241	-0.023636
0.242	-0.034545
0.243	-0.042464
0.244	-0.044269
0.245	-0.039337
0.246	-0.029546
0.247	-0.018025
0.248	-0.007629
0.249	0.000198
0.25	0.005384
0.251	0.008173
0.252	0.008975
0.253	0.009201
0.254	0.00976
0.255	0.008324
0.256	0.001644
0.257	-0.007805
0.258	-0.008755
0.259	0.013067
0.26	0.062213
0.261	0.124983
0.262	0.176629
0.263	0.199131
0.264	0.191368
0.265	0.16406
0.266	0.128559
0.267	0.090777
0.268	0.053444
0.269	0.021033
0.27	-0.000205
0.271	-0.007202
0.272	-0.003108
0.273	0.005519
0.274	0.012819
0.275	0.015159
0.276	0.012233
0.277	0.007089
0.278	0.002838
0.279	-0.000416
0.28	-0.004826
0.281	-0.011903
0.282	-0.020815
0.283	-0.029328
0.284	-0.036007
0.285	-0.040884
0.286	-0.044096
0.287	-0.044523
0.288	-0.039883
0.289	-0.028618
0.29	-0.012283
0.291	0.004207
0.292	0.015651
0.293	0.020544
0.294	0.021109
0.295	0.019755
0.296	0.017811
0.297	0.016379
0.298	0.015476
0.299	0.013104
0.3	0.007022
0.301	-0.002592
0.302	-0.012867
0.303	-0.020727
0.304	-0.024986
0.305	-0.02585
0.306	-0.023657
0.307	-0.018826
0.308	-0.012315
0.309	-0.005608
0.31	-0.000173
0.311	0.002946
0.312	0.003504
0.313	0.002726
0.314	0.002101
0.315	0.001149
0.316	-0.001358
0.317	-0.004812
0.318	-0.007457
0.319	-0.008812
0.32	-0.010455
0.321	-0.014538
0.322	-0.021538
0.323	-0.029492
0.324	-0.035244
0.325	-0.036379
0.326	-0.032633
0.327	-0.025828
0.328	-0.018362
0.329	-0.011869
0.33	-0.007007
0.331	-0.004026
0.332	-0.002763
0.333	-0.001836
0.334	7.4e-05
0.335	0.00191
0.336	0.00172
0.337	-0.000486
0.338	-0.003286
0.339	-0.006002
0.34	-0.00915
0.341	-0.012988
0.342	-0.016477
0.343	-0.018387
0.344	-0.018896
0.345	-0.019167
0.346	-0.019569
0.347	-0.019047
0.348	-0.01651
0.349	-0.012273
0.35	-0.007838
0.351	-0.004956
0.352	-0.004448
0.353	-0.00506
0.354	-0.005055
0.355	-0.004936
0.356	-0.006184
0.357	-0.008782
0.358	-0.012485
0.359	-0.018809
0.36	-0.028314
0.361	-0.034274
0.362	-0.021771
0.363	0.021023
0.364	0.087923
0.365	0.154227
0.366	0.194412
0.367	0.199715
0.368	0.17901
0.369	0.14663
0.37	0.111118
0.371	0.073861
0.372	0.036396
0.373	0.00609
0.374	-0.008798
0.375	-0.00803
0.376	0.000607
0.377	0.00873
0.378	0.012296
0.379	0.011345
0.38	0.007941
0.381	0.004566
0.382	0.002528
0.383	0.000822
0.384	-0.002678
0.385	-0.008556
0.386	-0.014729
0.387	-0.018053
0.388	-0.016874
0.389	-0.01212
0.39	-0.006852
0.391	-0.00543
0.392	-0.011285
0.393	-0.023579
0.394	-0.037315
0.395	-0.047188
0.396	-0.05007
0.397	-0.045393
0.398	-0.035296
0.399	-0.023801
0.4	-0.014627
0.401	-0.009416
0.402	-0.00769
0.403	-0.007858
0.404	-0.008361
0.405	-0.008523
0.406	-0.008479
0.407	-0.008524
0.408	-0.008733
0.409	-0.008875
0.41	-0.008602
0.411	-0.007899
0.412	-0.006768
0.413	-0.004326
0.414	-4.6e-05
0.415	0.00421
0.416	0.005639
0.417	0.003381
0.418	-0.001423
0.419	-0.007366
0.42	-0.013451
0.421	-0.018452
0.422	-0.020694
0.423	-0.019383
0.424	-0.016085
0.425	-0.013902
0.426	-0.014752
0.427	-0.018079
0.428	-0.021983
0.429	-0.024671
0.43	-0.025229
0.431	-0.023909
0.432	-0.021318
0.433	-0.017146
0.434	-0.011418
0.435	-0.006695
0.436	-0.006052
0.437	-0.009198
0.438	-0.012779
0.439	-0.014194
0.44	-0.014119
0.441	-0.015317
0.442	-0.019618
0.443	-0.026327
0.444	-0.032908
0.445	-0.036634
0.446	-0.036195
0.447	-0.032414
0.448	-0.027186
0.449	-0.021845
0.45	-0.016954
0.451	-0.013184
0.452	-0.011217
0.453	-0.010493
0.454	-0.009792
0.455	-0.009261
0.456	-0.00973
0.457	-0.010671
0.458	-0.010718
0.459	-0.00941
0.46	-0.007598
0.461	-0.006896
0.462	-0.009221
0.463	-0.015353
0.464	-0.020983
0.465	-0.014311
0.466	0.01686
0.467	0.071435
0.468	0.131175
0.469	0.173642
0.47	0.187713
0.471	0.176522
0.472	0.149737
0.473	0.115627
0.474	0.078123
0.475	0.039499
0.476	0.005374
0.477	-0.015917
0.478	-0.020381
0.479	-0.012623
0.48	-0.002363
0.481	0.002395
0.482	-0.000599
0.483	-0.008657
0.484	-0.017488
0.485	-0.023933
0.486	-0.027087
0.487	-0.027757
0.488	-0.026948
0.489	-0.025061
0.49	-0.02224
0.491	-0.019051
0.492	-0.016155
0.493	-0.013129
0.494	-0.009354
0.495	-0.005913
0.496	-0.004278
0.497	-0.00448
0.498	-0.006444
0.499	-0.011268
0.5	-0.019662
0.501	-0.029561
0.502	-0.036363
0.503	-0.036529
0.504	-0.030846
0.505	-0.023639
0.506	-0.019031
0.507	-0.018021
0.508	-0.018638
0.509	-0.018362
0.51	-0.016351
0.511	-0.014006
0.512	-0.013188
0.513	-0.013469
0.514	-0.01282
0.515	-0.010843
0.516	-0.008765
0.517	-0.007235
0.518	-0.006114
0.519	-0.005568
0.52	-0.006411
0.521	-0.0091
0.522	-0.012719
0.523	-0.015603
0.524	-0.016885
0.525	-0.017134
0.526	-0.017599
0.527	-0.019012
0.528	-0.021249
0.529	-0.023749
0.53	-0.025934
0.531	-0.027496
0.532	-0.027973
0.533	-0.026108
0.534	-0.021566
0.535	-0.016867
0.536	-0.015048
0.537	-0.016423
0.538	-0.019054
0.539	-0.021001
0.54	-0.021361
0.541	-0.020005
0.542	-0.017385
0.543	-0.014666
0.544	-0.013304
0.545	-0.014185
0.546	-0.017045
0.547	-0.020711
0.548	-0.024077
0.549	-0.026821
0.55	-0.029271
0.551	-0.031937
0.552	-0.034332
0.553	-0.034059
0.554	-0.029286
0.555	-0.021997
0.556	-0.016268
0.557	-0.014056
0.558	-0.014186
0.559	-0.014492
0.56	-0.014019
0.561	-0.013394
0.562	-0.013597
0.563	-0.014844
0.564	-0.017119
0.565	-0.021459
0.566	-0.028805
0.567	-0.035728
0.568	-0.031582
0.569	-0.00364
0.57	0.05004
0.571	0.113191
0.572	0.161425
0.573	0.180305
0.574	0.171704
0.575	0.146032
0.576	0.112722
0.577	0.076661
0.578	0.040674
0.579	0.009647
0.58	-0.009867
0.581	-0.01473
0.582	-0.00854
0.583	0.000787
0.584	0.00638
0.585	0.005955
0.586	0.001376
0.587	-0.004432
0.588	-0.009979
0.589	-0.015363
0.59	-0.02124
0.591	-0.028017
0.592	-0.035013
0.593	-0.039967
0.594	-0.040814
0.595	-0.037982
0.596	-0.033388
0.597	-0.028018
0.598	-0.021893
0.599	-0.015457
0.6	-0.01016
0.601	-0.007771
0.602	-0.008974
0.603	-0.012765
0.604	-0.017865
0.605	-0.024463
0.606	-0.033832
0.607	-0.046257
0.608	-0.059343
0.609	-0.068481
0.61	-0.069848
0.611	-0.063493
0.612	-0.053035
0.613	-0.042372
0.614	-0.033799
0.615	-0.028354
0.616	-0.025498
0.617	-0.022957
0.618	-0.018453
0.619	-0.011333
0.62	-0.002556
0.621	0.006102
0.622	0.012714
0.623	0.015637
0.624	0.014058
0.625	0.008757
0.626	0.002017
0.627	-0.003759
0.628	-0.007353
0.629	-0.009054
0.63	-0.010356
0.631	-0.013295
0.632	-0.01892
0.633	-0.025844
0.634	-0.031675
0.635	-0.035785
0.636	-0.03875
0.637	-0.040132
0.638	-0.038732
0.639	-0.034317
0.64	-0.028308
0.641	-0.022924
0.642	-0.019586
0.643	-0.018216
0.644	-0.017923
0.645	-0.017831
0.646	-0.017439
0.647	-0.016607
0.648	-0.015359
0.649	-0.014025
0.65	-0.013551
0.651	-0.015265
0.652	-0.019763
0.653	-0.025989
0.654	-0.032559
0.655	-0.039396
0.656	-0.046169
0.657	-0.050553
0.658	-0.049954
0.659	-0.043903
0.66	-0.033989
0.661	-0.022282
0.662	-0.010525
0.663	-0.000534
0.664	0.005729
0.665	0.007168
0.666	0.004137
0.667	-0.002444
0.668	-0.012022
0.669	-0.022857
0.67	-0.028574
0.671	-0.018573
0.672	0.014138
0.673	0.064097
0.674	0.113835
0.675	0.145298
0.676	0.151944
0.677	0.139897
0.678	0.11893
0.679	0.093998
0.68	0.065169
0.681	0.033968
0.682	0.006884
0.683	-0.008763
0.684	-0.011025
0.685	-0.004673
0.686	0.002726
0.687	0.005985
0.688	0.004567
0.689	0.000966
0.69	-0.002464
0.691	-0.005486
0.692	-0.009066
0.693	-0.013288
0.694	-0.01804
0.695	-0.02456
0.696	-0.033372
0.697	-0.042022
0.698	-0.046693
0.699	-0.044953
0.7	-0.036616
0.701	-0.023228
0.702	-0.007731
0.703	0.005731
0.704	0.013132
0.705	0.01254
0.706	0.004918
0.707	-0.006674
0.708	-0.01855
0.709	-0.027518
0.71	-0.031594
0.711	-0.030815
0.712	-0.027295
0.713	-0.02387
0.714	-0.02284
0.715	-0.02536
0.716	-0.030597
0.717	-0.035732
0.718	-0.037575
0.719	-0.034533
0.72	-0.027305
0.721	-0.01801
0.722	-0.009057
0.723	-0.002481
0.724	0.000645
0.725	0.000448
0.726	-0.00197
0.727	-0.004841
0.728	-0.006271
0.729	-0.005223
0.73	-0.002628
0.731	-0.001646
0.732	-0.005724
0.733	-0.015853
0.734	-0.030411
0.735	-0.046663
0.736	-0.06108
0.737	-0.069649
0.738	-0.069599
0.739	-0.061013
0.74	-0.046508
0.741	-0.029646
0.742	-0.013968
0.743	-0.002761
0.744	0.001654
0.745	-0.000866
0.746	-0.007814
0.747	-0.015231
0.748	-0.019745
0.749	-0.019979
0.75	-0.016957
0.751	-0.012981
0.752	-0.008121
0.753	0.002357
0.754	0.024178
0.755	0.056784
0.756	0.091883
0.757	0.119126
0.758	0.131695
0.759	0.127393
0.76	0.107021
0.761	0.073412
0.762	0.032394
0.763	-0.006479
0.764	-0.033165
0.765	-0.043145
0.766	-0.039737
0.767	-0.030259
0.768	-0.02066
0.769	-0.013755
0.77	-0.011358
0.771	-0.015862
0.772	-0.02709
0.773	-0.037375
0.774	-0.033506
0.775	-0.007549
0.776	0.034354
0.777	0.075898
0.778	0.103142
0.779	0.112801
0.78	0.110371
0.781	0.102275
0.782	0.089729
0.783	0.069881
0.784	0.042723
0.785	0.015085
0.786	-0.003776
0.787	-0.009611
0.788	-0.005288
0.789	0.002764
0.79	0.008733
0.791	0.010007
0.792	0.009077
0.793	0.013376
0.794	0.029749
0.795	0.057374
0.796	0.087704
0.797	0.110911
0.798	0.12082
0.799	0.115179
0.8	0.094101
0.801	0.060255
0.802	0.020933
0.803	-0.012368
0.804	-0.029967
0.805	-0.03077
0.806	-0.022273
0.807	-0.013891
0.808	-0.010786
0.809	-0.013108
0.81	-0.018835
0.811	-0.026237
0.812	-0.034231
0.813	-0.041809
0.814	-0.048908
0.815	-0.057211
0.816	-0.067823
0.817	-0.078692
0.818	-0.08551
0.819	-0.084518
0.82	-0.074435
0.821	-0.056888
0.822	-0.035913
0.823	-0.016722
0.824	-0.003573
0.825	0.002129
0.826	0.001775
0.827	-0.001783
0.828	-0.005463
0.829	-0.00725
0.83	-0.007248
0.831	-0.00689
0.832	-0.005492
0.833	0.002168
0.834	0.021597
0.835	0.051302
0.836	0.082345
0.837	0.104399
0.838	0.110568
0.839	0.09842
0.84	0.069585
0.841	0.029726
0.842	-0.01165
0.843	-0.043417
0.844	-0.057828
0.845	-0.055372
0.846	-0.044303
0.847	-0.033968
0.848	-0.028214
0.849	-0.024852
0.85	-0.020697
0.851	-0.016515
0.852	-0.016685
0.853	-0.025113
0.854	-0.042937
0.855	-0.06815
0.856	-0.094951
0.857	-0.115421
0.858	-0.123933
0.859	-0.119745
0.86	-0.105804
0.861	-0.085828
0.862	-0.062711
0.863	-0.039285
0.864	-0.019223
0.865	-0.006032
0.866	-0.001095
0.867	-0.00293
0.868	-0.008213
0.869	-0.013565
0.87	-0.01696
0.871	-0.017481
0.872	-0.012769
0.873	0.001921
0.874	0.028618
0.875	0.061323
0.876	0.08996
0.877	0.11008
0.878	0.12619
0.879	0.143936
0.88	0.16101
0.881	0.169678
0.882	0.166984
0.883	0.157654
0.884	0.146929
0.885	0.133893
0.886	0.112756
0.887	0.080126
0.888	0.04166
0.889	0.011041
0.89	-0.000365
0.891	0.006783
0.892	0.021435
0.893	0.030849
0.894	0.026306
0.895	0.005703
0.896	-0.024837
0.897	-0.053622
0.898	-0.07029
0.899	-0.070653
0.9	-0.055787
0.901	-0.029522
0.902	0.00156
0.903	0.029282
0.904	0.047786
0.905	0.055655
0.906	0.055414
0.907	0.052329
0.908	0.051243
0.909	0.052419
0.91	0.05133
0.911	0.044198
0.912	0.034331
0.913	0.031735
0.914	0.044679
0.915	0.071849
0.916	0.103645
