animal_id,time_s,mv
102,0.0,-0.310016
102,0.001,-0.225753
102,0.002,-0.217754
102,0.003,-0.350082
102,0.004,-0.583287
102,0.005,-0.820574
102,0.006,-0.992588
102,0.007,-1.045249
102,0.008,-0.944783
102,0.009,-0.745427
102,0.01,-0.567545
102,0.011,-0.492927
102,0.012,-0.513642
102,0.013,-0.570004
102,0.014,-0.606928
102,0.015,-0.592942
102,0.016,-0.520332
102,0.017,-0.409895
102,0.018,-0.304186
102,0.019,-0.234062
102,0.02,-0.194646
102,0.021,-0.177121
102,0.022,-0.214611
102,0.023,-0.347638
102,0.024,-0.545916
102,0.025,-0.734637
102,0.026,-0.869163
102,0.027,-0.917062
102,0.028,-0.8502
102,0.029,-0.703986
102,0.03,-0.569959
102,0.031,-0.509411
102,0.032,-0.509237
102,0.033,-0.519407
102,0.034,-0.502788
102,0.035,-0.452649
102,0.036,-0.386254
102,0.037,-0.324514
102,0.038,-0.278396
102,0.039,-0.247982
102,0.04,-0.22432
102,0.041,-0.208724
102,0.042,-0.237316
102,0.043,-0.343998
102,0.044,-0.491842
102,0.045,-0.612235
102,0.046,-0.691064
102,0.047,-0.738438
102,0.048,-0.737225
102,0.049,-0.682129
102,0.05,-0.610112
102,0.051,-0.559558
102,0.052,-0.534729
102,0.053,-0.521991
102,0.054,-0.513236
102,0.055,-0.50372
102,0.056,-0.476849
102,0.057,-0.413913
102,0.058,-0.329239
102,0.059,-0.260855
102,0.06,-0.221335
102,0.061,-0.201679
102,0.062,-0.221262
102,0.063,-0.310512
102,0.064,-0.441253
102,0.065,-0.557801
102,0.066,-0.65262
102,0.067,-0.728674
102,0.068,-0.755561
102,0.069,-0.718762
102,0.07,-0.646663
102,0.071,-0.570304
102,0.072,-0.496741
102,0.073,-0.422354
102,0.074,-0.350087
102,0.075,-0.289703
102,0.076,-0.24867
102,0.077,-0.231006
102,0.078,-0.236491
102,0.079,-0.252549
102,0.08,-0.258194
102,0.081,-0.249241
102,0.082,-0.262288
102,0.083,-0.335698
102,0.084,-0.437966
102,0.085,-0.510958
102,0.086,-0.563591
102,0.087,-0.63244
102,0.088,-0.703433
102,0.089,-0.734603
102,0.09,-0.706418
102,0.091,-0.629628
102,0.092,-0.533513
102,0.093,-0.450889
102,0.094,-0.404765
102,0.095,-0.396118
102,0.096,-0.395709
102,0.097,-0.369498
102,0.098,-0.318979
102,0.099,-0.271834
102,0.1,-0.239544
102,0.101,-0.219921
102,0.102,-0.237574
102,0.103,-0.319666
102,0.104,-0.424774
102,0.105,-0.485479
102,0.106,-0.513066
102,0.107,-0.566408
102,0.108,-0.652717
102,0.109,-0.722115
102,0.11,-0.724667
102,0.111,-0.651155
102,0.112,-0.536102
102,0.113,-0.428433
102,0.114,-0.362831
102,0.115,-0.348625
102,0.116,-0.366828
102,0.117,-0.381458
102,0.118,-0.365968
102,0.119,-0.320156
102,0.12,-0.262033
102,0.121,-0.21978
102,0.122,-0.236502
102,0.123,-0.333377
102,0.124,-0.45243
102,0.125,-0.513496
102,0.126,-0.527819
102,0.127,-0.567599
102,0.128,-0.651672
102,0.129,-0.726334
102,0.13,-0.728678
102,0.131,-0.644029
102,0.132,-0.514827
102,0.133,-0.403711
102,0.134,-0.355616
102,0.135,-0.381087
102,0.136,-0.447542
102,0.137,-0.489155
102,0.138,-0.454472
102,0.139,-0.351574
102,0.14,-0.234792
102,0.141,-0.164228
102,0.142,-0.189425
102,0.143,-0.317441
102,0.144,-0.468721
102,0.145,-0.537986
102,0.146,-0.506462
102,0.147,-0.426546
102,0.148,-0.360081
102,0.149,-0.368185
102,0.15,-0.447994
102,0.151,-0.503936
102,0.152,-0.466656
102,0.153,-0.365511
102,0.154,-0.266769
102,0.155,-0.219503
102,0.156,-0.246761
102,0.157,-0.321328
102,0.158,-0.362427
102,0.159,-0.314958
102,0.16,-0.2151
102,0.161,-0.15036
102,0.162,-0.189863
102,0.163,-0.335185
102,0.164,-0.496643
102,0.165,-0.575557
102,0.166,-0.579209
102,0.167,-0.581037
102,0.168,-0.604836
102,0.169,-0.603038
102,0.17,-0.531348
102,0.171,-0.427507
102,0.172,-0.378495
102,0.173,-0.411673
102,0.174,-0.46138
102,0.175,-0.439866
102,0.176,-0.334177
102,0.177,-0.223712
102,0.178,-0.190601
102,0.179,-0.234174
102,0.18,-0.281761
102,0.181,-0.273449
102,0.182,-0.228366
102,0.183,-0.213315
102,0.184,-0.273187
102,0.185,-0.430099
102,0.186,-0.668714
102,0.187,-0.868455
102,0.188,-0.87352
102,0.189,-0.673475
102,0.19,-0.420166
102,0.191,-0.264888
102,0.192,-0.24787
102,0.193,-0.326268
102,0.194,-0.427559
102,0.195,-0.471078
102,0.196,-0.405596
102,0.197,-0.263998
102,0.198,-0.152678
102,0.199,-0.141298
102,0.2,-0.186383
102,0.201,-0.20554
102,0.202,-0.187203
102,0.203,-0.177421
102,0.204,-0.206682
102,0.205,-0.296165
102,0.206,-0.461396
102,0.207,-0.638309
102,0.208,-0.703092
102,0.209,-0.613723
102,0.21,-0.453595
102,0.211,-0.324593
102,0.212,-0.2645
102,0.213,-0.265595
102,0.214,-0.300072
102,0.215,-0.313646
102,0.216,-0.252829
102,0.217,-0.137616
102,0.218,-0.066715
102,0.219,-0.101053
102,0.22,-0.186865
102,0.221,-0.237185
102,0.222,-0.238843
102,0.223,-0.230972
102,0.224,-0.225622
102,0.225,-0.218671
102,0.226,-0.212839
102,0.227,-0.163353
102,0.228,-0.03737
102,0.229,0.046731
102,0.23,-0.039444
102,0.231,-0.214075
102,0.232,-0.322039
102,0.233,-0.334983
102,0.234,-0.292385
102,0.235,-0.199085
102,0.236,-0.053272
102,0.237,0.07785
102,0.238,0.089265
102,0.239,-0.036436
102,0.24,-0.200366
102,0.241,-0.299638
102,0.242,-0.322978
102,0.243,-0.311785
102,0.244,-0.270928
102,0.245,-0.184332
102,0.246,-0.058714
102,0.247,0.11771
102,0.248,0.314973
102,0.249,0.348238
102,0.25,0.105104
102,0.251,-0.21624
102,0.252,-0.377004
102,0.253,-0.38018
102,0.254,-0.35287
102,0.255,-0.35909
102,0.256,-0.369071
102,0.257,-0.341889
102,0.258,-0.295129
102,0.259,-0.269208
102,0.26,-0.261312
102,0.261,-0.238737
102,0.262,-0.202587
102,0.263,-0.185094
102,0.264,-0.199408
102,0.265,-0.261566
102,0.266,-0.409522
102,0.267,-0.620627
102,0.268,-0.781925
102,0.269,-0.796099
102,0.27,-0.663379
102,0.271,-0.456871
102,0.272,-0.269459
102,0.273,-0.179971
102,0.274,-0.225129
102,0.275,-0.369824
102,0.276,-0.504862
102,0.277,-0.523176
102,0.278,-0.423301
102,0.279,-0.293808
102,0.28,-0.194422
102,0.281,-0.12054
102,0.282,-0.074932
102,0.283,-0.083978
102,0.284,-0.149126
102,0.285,-0.259707
102,0.286,-0.410496
102,0.287,-0.541976
102,0.288,-0.564387
102,0.289,-0.485352
102,0.29,-0.382977
102,0.291,-0.280148
102,0.292,-0.16949
102,0.293,-0.076019
102,0.294,-0.019321
102,0.295,0.014245
102,0.296,0.034281
102,0.297,0.023165
102,0.298,-0.032053
102,0.299,-0.109478
102,0.3,-0.164388
102,0.301,-0.17119
102,0.302,-0.156967
102,0.303,-0.167974
102,0.304,-0.21307
102,0.305,-0.293725
102,0.306,-0.442672
102,0.307,-0.651441
102,0.308,-0.818876
102,0.309,-0.837011
102,0.31,-0.689511
102,0.311,-0.453738
102,0.312,-0.238416
102,0.313,-0.118016
102,0.314,-0.098338
102,0.315,-0.12508
102,0.316,-0.13491
102,0.317,-0.111488
102,0.318,-0.086713
102,0.319,-0.089466
102,0.32,-0.108939
102,0.321,-0.119883
102,0.322,-0.130411
102,0.323,-0.166982
102,0.324,-0.222797
102,0.325,-0.282947
102,0.326,-0.363865
102,0.327,-0.454059
102,0.328,-0.498338
102,0.329,-0.483423
102,0.33,-0.428878
102,0.331,-0.326956
102,0.332,-0.191109
102,0.333,-0.088118
102,0.334,-0.06702
102,0.335,-0.097386
102,0.336,-0.099361
102,0.337,-0.041835
102,0.338,0.017177
102,0.339,0.012585
102,0.34,-0.046615
102,0.341,-0.106826
102,0.342,-0.146539
102,0.343,-0.181693
102,0.344,-0.218593
102,0.345,-0.273191
102,0.346,-0.399553
102,0.347,-0.608837
102,0.348,-0.805381
102,0.349,-0.859718
102,0.35,-0.721274
102,0.351,-0.455908
102,0.352,-0.189102
102,0.353,-0.017975
102,0.354,0.038868
102,0.355,0.037221
102,0.356,0.048331
102,0.357,0.084099
102,0.358,0.094093
102,0.359,0.040386
102,0.36,-0.051454
102,0.361,-0.123359
102,0.362,-0.150185
102,0.363,-0.147353
102,0.364,-0.113003
102,0.365,-0.015906
102,0.366,0.172039
102,0.367,0.462544
102,0.368,0.741559
102,0.369,0.736743
102,0.37,0.376787
102,0.371,-0.029957
102,0.372,-0.222273
102,0.373,-0.251788
102,0.374,-0.254397
102,0.375,-0.261454
102,0.376,-0.248603
102,0.377,-0.222186
102,0.378,-0.210608
102,0.379,-0.216785
102,0.38,-0.216341
102,0.381,-0.186917
102,0.382,-0.1375
102,0.383,-0.1026
102,0.384,-0.101371
102,0.385,-0.134075
102,0.386,-0.180327
102,0.387,-0.156135
102,0.388,-0.016474
102,0.389,0.094308
102,0.39,0.047048
102,0.391,-0.04706
102,0.392,-0.062903
102,0.393,-0.065235
102,0.394,-0.162762
102,0.395,-0.351862
102,0.396,-0.524614
102,0.397,-0.56919
102,0.398,-0.468989
102,0.399,-0.3052
102,0.4,-0.163349
102,0.401,-0.065495
102,0.402,-0.002368
102,0.403,0.024509
102,0.404,0.019311
102,0.405,-0.003177
102,0.406,-0.010126
102,0.407,0.08958
102,0.408,0.315717
102,0.409,0.450745
102,0.41,0.323492
