animal_id,qt_template_ms,qt_per_beat_ms,qtc_template,qtc_per_beat,published_range_pass,group
201,44.0,70.4,40.1,64.2,False,prototype
232,40.0,97.2,30.0,72.8,False,template_floored
125,41.0,91.2,37.4,83.3,False,template_floored
150,41.0,91.1,36.5,81.2,False,template_floored
249,40.0,87.7,36.8,80.6,False,template_floored
246,41.0,87.6,36.2,77.4,False,template_floored
115,76.0,64.1,66.2,55.8,True,template_ok
147,115.0,80.2,108.1,75.4,False,template_ok
157,47.0,68.1,46.3,67.1,False,template_ok
204,99.0,72.1,96.3,70.1,False,template_ok
213,95.0,,95.4,,False,template_ok
