animal_id,time_ms,voltage_mv
115,-100.0,0.911485
115,-99.0,0.884197
115,-98.0,0.775384
115,-97.0,0.622193
115,-96.0,0.463875
115,-95.0,0.328492
115,-94.0,0.226461
115,-93.0,0.154197
115,-92.0,0.103544
115,-91.0,0.068603
115,-90.0,0.04488
115,-89.0,0.025478
115,-88.0,0.005087
115,-87.0,-0.006996
115,-86.0,0.018795
115,-85.0,0.113043
115,-84.0,0.277064
115,-83.0,0.476918
115,-82.0,0.663024
115,-81.0,0.78965
115,-80.0,0.828696
115,-79.0,0.77891
115,-78.0,0.66423
115,-77.0,0.523939
115,-76.0,0.400017
115,-75.0,0.32243
115,-74.0,0.297701
115,-73.0,0.309548
115,-72.0,0.332189
115,-71.0,0.34551
115,-70.0,0.340536
115,-69.0,0.315247
115,-68.0,0.270088
115,-67.0,0.20785
115,-66.0,0.130543
115,-65.0,0.029627
115,-64.0,-0.110453
115,-63.0,-0.285199
115,-62.0,-0.45666
115,-61.0,-0.578221
115,-60.0,-0.624052
115,-59.0,-0.59551
115,-58.0,-0.513225
115,-57.0,-0.404766
115,-56.0,-0.29374
115,-55.0,-0.196385
115,-54.0,-0.122949
115,-53.0,-0.077685
115,-52.0,-0.056792
115,-51.0,-0.048601
115,-50.0,-0.040271
115,-49.0,-0.026633
115,-48.0,-0.01251
115,-47.0,-0.010068
115,-46.0,-0.039675
115,-45.0,-0.131161
115,-44.0,-0.306151
115,-43.0,-0.544504
115,-42.0,-0.779717
115,-41.0,-0.939333
115,-40.0,-0.984863
115,-39.0,-0.920152
115,-38.0,-0.780202
115,-37.0,-0.613865
115,-36.0,-0.46659
115,-35.0,-0.36857
115,-34.0,-0.328639
115,-33.0,-0.33432
115,-32.0,-0.358944
115,-31.0,-0.373431
115,-30.0,-0.359208
115,-29.0,-0.31625
115,-28.0,-0.259091
115,-27.0,-0.203199
115,-26.0,-0.155824
115,-25.0,-0.120256
115,-24.0,-0.100157
115,-23.0,-0.091751
115,-22.0,-0.081806
115,-21.0,-0.061437
115,-20.0,-0.033428
115,-19.0,-0.005749
115,-18.0,0.013688
115,-17.0,0.018324
115,-16.0,0.00399
115,-15.0,-0.031188
115,-14.0,-0.085705
115,-13.0,-0.151682
115,-12.0,-0.214454
115,-11.0,-0.257833
115,-10.0,-0.273463
115,-9.0,-0.266105
115,-8.0,-0.244259
115,-7.0,-0.197914
115,-6.0,-0.08626
115,-5.0,0.139406
115,-4.0,0.490086
115,-3.0,0.915615
115,-2.0,1.320897
115,-1.0,1.605087
115,0.0,1.704481
115,1.0,1.615281
115,2.0,1.383911
115,3.0,1.082271
115,4.0,0.784032
115,5.0,0.542883
115,6.0,0.378088
115,7.0,0.276883
115,8.0,0.212891
115,9.0,0.165995
115,10.0,0.127675
115,11.0,0.094233
115,12.0,0.064502
115,13.0,0.045488
115,14.0,0.051024
115,15.0,0.086047
115,16.0,0.137032
115,17.0,0.185654
115,18.0,0.222336
115,19.0,0.241349
115,20.0,0.237152
115,21.0,0.209914
115,22.0,0.168132
115,23.0,0.128555
115,24.0,0.113615
115,25.0,0.139787
115,26.0,0.203288
