animal_id,start_sample,start_s,start_min,end_s,hr,rr_std,n_beats,mains_ratio,passes_gate,within_120s_of_annotation
102,0,0.0,0.0,30.0,277.4,366.0,139,1.4581,False,True
102,5000,5.0,0.083,35.0,256.2,347.1,124,84.4467,False,True
102,10000,10.0,0.167,40.0,290.6,265.4,140,54.1904,False,True
102,15000,15.0,0.25,45.0,307.4,331.0,152,34.1686,False,True
102,20000,20.0,0.333,50.0,309.8,339.4,152,38.1608,False,True
102,25000,25.0,0.417,55.0,281.9,332.2,141,44.2004,False,True
102,30000,30.0,0.5,60.0,292.2,245.0,147,52.1651,False,True
102,35000,35.0,0.583,65.0,289.4,308.1,141,21.0806,False,True
102,40000,40.0,0.667,70.0,305.8,248.4,151,18.0132,False,True
102,45000,45.0,0.75,75.0,293.0,299.7,147,23.1741,False,True
102,50000,50.0,0.833,80.0,290.3,298.6,146,17.0294,False,True
102,55000,55.0,0.917,85.0,274.2,287.2,138,24.5216,False,True
102,60000,60.0,1.0,90.0,312.6,205.5,157,38.1388,False,True
102,65000,65.0,1.083,95.0,314.5,182.7,158,33.5467,False,True
102,70000,70.0,1.167,100.0,309.6,210.7,150,1.6281,False,True
102,75000,75.0,1.25,105.0,318.2,314.6,152,1.6525,False,True
102,80000,80.0,1.333,110.0,339.2,262.2,166,1.6958,False,True
102,85000,85.0,1.417,115.0,369.2,245.6,181,3.9612,False,True
102,90000,90.0,1.5,120.0,383.9,267.0,187,1.7666,False,True
102,95000,95.0,1.583,125.0,341.4,321.1,165,1.643,False,True
102,100000,100.0,1.667,130.0,334.6,319.9,165,3.174,False,True
102,105000,105.0,1.75,135.0,316.4,295.6,144,3.7184,False,True
102,110000,110.0,1.833,140.0,300.2,438.2,151,3.4366,False,True
102,115000,115.0,1.917,145.0,353.1,317.6,167,3.407,False,True
102,120000,120.0,2.0,150.0,334.4,308.4,166,16.8614,False,True
102,125000,125.0,2.083,155.0,362.7,230.3,179,12.7175,False,True
102,130000,130.0,2.167,160.0,342.4,235.3,171,23.7561,False,True
102,135000,135.0,2.25,165.0,356.3,195.5,179,14.1421,False,True
102,140000,140.0,2.333,170.0,361.8,224.9,180,17.0839,False,True
102,145000,145.0,2.417,175.0,343.8,238.6,171,15.0737,False,True
102,150000,150.0,2.5,180.0,317.0,282.0,155,12.1547,False,True
102,155000,155.0,2.583,185.0,328.6,253.2,165,12.7254,False,True
102,160000,160.0,2.667,190.0,344.5,242.2,173,11.0655,False,True
102,165000,165.0,2.75,195.0,340.3,239.8,171,12.0304,False,True
102,170000,170.0,2.833,200.0,339.6,235.1,168,12.4288,False,True
102,175000,175.0,2.917,205.0,345.7,216.8,168,14.1958,False,True
102,180000,180.0,3.0,210.0,364.5,180.8,181,17.8294,False,True
102,185000,185.0,3.083,215.0,346.6,180.4,172,22.2753,False,True
102,190000,190.0,3.167,220.0,356.2,169.6,179,36.8857,False,True
102,195000,195.0,3.25,225.0,338.2,198.9,168,40.4464,False,True
102,200000,200.0,3.333,230.0,382.7,132.9,192,48.7367,False,True
